u,g,r,i,z,redshift,alpha,delta
24.60498,24.16096,22.3154,20.64211,19.60974,-0.0001177662,207.227386823425,37.5497126975882
21.31341,20.29255,20.1168,20.08948,19.73698,5.910236e-05,188.809966658909,-1.32863959632986
24.21963,22.12573,20.34906,19.03409,18.70864,7.533365e-05,143.086917444226,38.6012136563117
26.02053,22.75222,20.92211,19.65794,19.02267,0.6275412,182.447803983027,68.2819050219592
19.63354,18.67129,18.26765,18.08823,18.0493,-0.0004954825,113.598719896799,66.0933082920299
19.68309,17.80515,16.84974,16.46731,16.13831,0.1335062,171.735258999266,19.9475020450575
22.16624,22.05109,21.88478,21.67896,21.08294,0.5894179,14.9409928876089,7.12021133624277
17.25166,16.29861,15.9564,15.81928,15.78783,0.0005620805,167.761012822737,9.99004508547217
18.40217,17.1972,16.66436,16.33012,16.1093,0.05347805,230.32127250779,11.858161508476
25.4724,21.70899,21.38555,21.15825,21.58281,0.0002390276,120.30989875496,53.641394874149
21.64352,20.96134,20.5673,20.32459,20.04022,2.071874,158.527032589197,66.4787971583609
20.80299,18.9698,17.7578,17.23237,16.81928,0.1624687,216.442245369382,27.9956878631945
20.13128,18.92085,18.48558,18.27021,18.14316,-0.0007793586,353.690492496047,0.632674027043291
19.93212,18.32881,17.58827,17.18741,16.96386,0.07403836,219.850715854975,17.4976155823758
25.35616,23.15477,21.52822,20.515,19.82,-0.0001802116,224.69292358583,39.2784301168739
25.6089,21.38141,19.51209,18.80363,18.34834,0.4137658,175.522062192586,58.0418915839339
27.38939,21.51039,19.80055,18.94855,18.60051,0.4416805,139.241378030131,35.8932305457351
18.35621,16.94046,16.40566,16.11968,15.95823,0.05101111,242.851936462427,32.3929586418477
22.19619,21.33525,21.23053,21.0843,20.88643,-0.0006620922,355.785630593167,17.3007186339379
25.48759,22.2678,21.00283,19.90678,19.23264,0.0001266723,203.155600720851,41.7388606530311
20.39433,20.30561,20.26327,20.04396,20.09552,1.786036,163.15528901859,67.1167588707576
17.63035,16.57206,16.18659,16.03987,15.95854,-0.0003094711,359.25296342668,34.680565775761
18.35116,17.35864,17.03799,16.88536,16.86784,-0.0004687368,1.00124965964051,28.1346067160442
20.41449,20.31122,20.02559,20.06396,19.98899,1.141659,182.058880330457,35.1777641114657
23.64864,21.96082,22.17043,22.19963,21.24846,2.414741,251.726726073076,16.8218517517779
20.33831,19.23195,18.86844,18.7331,18.70715,3.625714e-05,180.94916579543,46.2262129668362
21.03734,20.69099,18.91917,18.07226,17.75127,0.4688323,254.840777904441,29.1890297866663
18.69827,17.55394,16.90335,16.65414,16.60419,0.360832,190.851877628522,3.65862740811052
20.72405,20.71035,20.41578,20.19804,20.06925,1.516662,8.66995378381836,7.21843959736205
25.43097,21.81777,21.64804,21.72365,21.25978,0.0004619725,336.065523580401,1.27224006472604
20.83788,18.80372,17.76672,17.30188,16.9936,0.1375139,215.153096273035,44.9516639313702
25.2829,22.80886,20.96271,19.91779,19.50425,0.5183232,209.956160516721,46.4243455568846
20.35189,18.41955,17.43038,17.00102,16.62906,0.1293214,124.705370145049,15.7119166485815
21.58206,21.04661,20.85188,20.73458,20.23624,-0.001129664,323.8914079605,6.04449885462823
20.82117,18.99057,17.84061,17.35515,16.97351,0.1627447,249.003183584016,16.8267687549408
21.53809,21.07209,20.89732,20.65542,20.55857,0.7203109,221.811412758332,43.6341866200476
23.50864,22.21642,20.91395,19.3598,18.61396,-0.0001464624,253.672996021086,38.8434597524761
26.65078,20.78396,19.02596,18.4032,18.04387,0.3357327,224.002886527456,23.8824492065565
19.02201,18.98588,19.37888,19.59725,19.89288,-0.0002043301,146.897369523423,2.14161267057974
21.76279,20.72943,20.15505,19.92506,19.64538,-0.0001690737,301.056508745037,-10.9002466093446
25.49424,21.83771,21.31719,21.21368,20.77099,-0.001181148,259.573913943481,30.5346855116883
20.58171,18.54019,17.32224,16.88669,16.55603,0.2211394,148.890042194322,43.3299782007612
20.40202,18.45218,17.35512,16.90126,16.5396,0.139893,242.140527828733,41.2694578825789
23.8714,21.09323,19.58457,18.9232,18.45879,-0.0001616959,349.384396333912,52.8833865401597
23.65729,21.06306,19.24804,18.5636,18.06759,0.3861178,213.989815071713,23.5408474865388
21.53912,21.43169,21.41882,21.09228,20.72729,1.757586,219.30402507763,44.5380740428335
25.4144,22.6647,21.08171,19.86005,19.28687,0.5825084,177.261853202962,35.0704988106312
23.68613,22.03434,20.37051,19.49266,18.97679,0.49411,160.404024100684,19.4490984604841
21.85966,21.80301,21.95299,21.6793,21.85691,1.646958,227.01925268085,56.4058877251678
24.95003,25.47065,21.95485,20.81191,19.53642,0.8948058,217.326458623261,47.8622885673429
25.10548,21.73526,21.19324,21.06001,21.0727,0.0003111043,144.098321669181,28.602338858386
23.1395,22.12699,20.5673,19.54477,19.13671,0.5832203,192.301119213215,34.5470831338625
21.13438,18.89582,17.55082,17.02276,16.6447,0.1927444,227.993532532798,61.300471486267
21.57729,21.26015,21.30311,21.05008,21.32357,1.626083,138.565951352373,2.08521693352839
22.51675,21.67475,21.19073,21.11261,20.55249,1.134072,35.0242457089739,-3.65536137037189
21.06654,20.8413,20.74751,20.40722,20.52177,1.696676,209.408115788219,45.3607189974391
22.31294,21.60053,21.40095,21.12859,20.97785,0.0003474248,185.570171438834,7.81245008437932
19.59342,25.58728,25.1516,24.3573,17.75886,-1.389779e-06,137.626808886619,65.8386874424362
22.50291,19.26842,17.92058,17.3851,17.08091,0.2250173,261.403224760668,27.5366416228392
21.44258,21.13632,21.11138,21.13369,21.01136,0.772611,112.016020558983,25.9422421481814
19.09578,17.61458,16.90284,16.50938,16.25396,0.08249907,122.577530895333,34.6799638754168
23.66194,21.27654,19.33396,18.74359,18.32162,0.3743257,241.054348101215,27.2243584335847
22.27057,21.45217,20.41599,19.55614,19.09489,0.6368245,212.896133425289,15.0519266585006
16.77752,15.62081,15.23753,15.09698,15.04721,-0.0001369665,243.507903452833,10.4792713642027
21.00637,20.75136,20.68602,20.93634,20.55535,0.0001880131,191.287057245603,26.3417952561982
18.12693,17.00793,16.57588,16.32897,16.14605,0.03242042,164.751767845763,49.5692328752567
25.14699,21.98808,20.31273,19.38388,18.94747,0.5240729,202.296257517237,-0.0356469716267905
24.31864,23.22124,22.33381,23.01153,23.19431,1.046503,327.099764888196,0.0914686116651668
21.60759,19.21249,17.80143,17.21964,16.80457,0.2482693,152.198851408461,39.7761840487297
21.34699,20.02287,19.52538,19.30248,19.16846,-0.0006221876,319.072327745253,0.0745335190005929
20.10118,19.72153,19.58401,19.22617,19.1324,1.737469,310.509710819013,-6.54747135793244
20.20799,20.12879,19.92979,19.97834,20.2856,1.030235,133.856905882712,33.0857176062307
19.78406,17.22136,16.11882,15.73476,15.51745,-5.657806e-05,130.67923687963,6.75944667350823
20.71775,20.37905,20.26563,20.19431,19.70569,2.174779,130.552873785673,44.2513744947995
20.86955,18.90938,17.69849,17.18176,16.8338,0.1764212,124.580173042789,51.1421685159741
23.11101,22.42974,21.01099,19.70268,18.949,0.6773988,189.912722213923,-1.80779755520121
22.47859,20.32121,18.54815,17.96911,17.6275,0.3350332,221.729274757012,41.3565860547795
20.15339,17.75191,16.53459,16.13676,15.80145,8.070637e-05,71.7092111149076,23.1161229806212
20.22846,20.05924,19.94779,19.68421,19.61326,1.914206,135.153815916273,32.6188482788743
19.88026,18.29384,17.40961,16.98663,16.66062,0.138281,225.669735199343,57.3995062561514
22.20962,20.24953,18.70976,17.27218,16.45631,7.825889e-05,8.81359700759174,2.81902760630752
21.57468,20.55236,20.45862,20.50231,20.22593,2.696898,194.757548807353,60.02649880064
24.68926,22.51467,21.88577,21.31932,21.46864,0.82392,147.45658047879,24.8384033009541
18.10607,17.16621,16.84924,16.71974,16.6852,-0.0002933559,210.57449024907,24.1666359111613
18.75782,17.35607,16.68832,16.27453,15.96111,0.05100792,118.880489699546,13.3601388072531
17.75926,16.70221,16.27975,16.08988,16.00259,-0.0001688964,249.630699864561,36.9798358203433
16.26135,15.16922,14.8597,14.74886,14.74402,2.566169e-06,156.911210487292,17.8738031097072
25.80676,23.73656,21.88896,19.96821,18.84875,-8.618592e-05,220.237639454466,52.8191806129461
22.04954,19.59413,18.20541,17.33136,16.82922,0.0001145583,102.758859236504,36.9289386894074
25.8619,21.56574,20.83004,20.61597,20.16576,0.0005872222,157.359054484204,18.042776540929
19.4233,18.2598,17.73709,17.34837,17.2187,0.1123121,182.595428440583,33.7368729197637
23.16792,20.20148,18.49705,17.90901,17.54155,0.270155,123.425566118482,21.3995841214043
16.78917,15.66094,15.40014,15.33503,15.32133,0.0001590583,112.10487569344,30.7472740400991
23.14733,20.72516,19.68499,19.29688,19.13781,-0.0003096714,191.16012760052,47.8525526514691
18.86338,17.57399,17.71729,17.84163,17.88688,0.0004355768,172.233155771754,-3.55387725765824
22.3565,22.11536,21.58095,21.39255,21.01645,1.510533,126.145961502358,30.4506290258383
20.08243,19.39367,19.00927,18.91319,18.94623,-0.003844469,246.051397586223,14.8038982915208
22.4157,20.60401,18.91549,18.30672,17.92126,0.3583253,153.640691985464,42.5957470967581
22.6208,20.67841,20.37006,20.2643,20.04977,3.050472,131.703059214543,23.5944919482408
23.63055,22.18899,20.8319,19.84519,19.75224,0.0003311008,124.307530613963,9.09041136487292
23.08439,21.4512,20.69939,20.32393,20.08613,-0.0001146123,45.6127813583275,6.84872223473212
18.71803,17.53984,17.49006,17.54269,17.571,0.0008674593,151.712562993745,20.442507066641
23.51838,23.89849,22.1768,20.80423,19.90107,0.8087667,136.603627433574,58.0241103651654
25.66062,22.24822,20.71108,19.73212,19.40455,0.5162147,224.513611099222,2.63976884527671
22.32402,21.5853,20.63873,20.15953,19.95842,0.4887181,184.940733848503,38.1181093074105
22.27412,19.61314,17.90863,17.30052,16.90304,0.3221757,150.120457538287,51.8726580431047
22.7533,22.92072,22.16166,20.79125,19.90748,0.8099844,353.321539351243,9.95174712656175
19.89408,19.57504,19.25274,19.17513,19.31615,1.213342,238.385210759099,11.5299190343522
23.54672,22.1739,20.33691,19.49339,19.0716,0.506933,196.236373583014,-1.97802833147005
18.97739,17.49328,16.8888,16.63255,16.50819,-6.636865e-05,232.330944554989,49.0044875791567
18.97506,17.72426,17.22788,16.9247,16.70867,0.07471258,182.062572808584,6.21019858044866
21.80704,19.67693,18.35045,17.85459,17.50757,0.1972109,231.282699244043,37.0503819707614
25.90393,22.85225,22.11895,21.58161,21.78468,0.7797846,152.392140844052,17.4334960257319
19.48724,18.58731,18.28665,18.17874,18.15352,-0.0007184758,358.077014446709,12.943441376642
21.91554,18.40437,17.36674,16.92135,16.53961,0.1222092,193.561255606186,-1.61729801973106
23.96668,22.92086,21.04989,19.77784,19.27295,0.6007357,134.532528807607,16.1528774290572
22.34557,20.39784,18.86681,18.28266,17.89641,0.2508924,141.618816508603,51.6637076205201
25.41109,21.77458,21.50108,21.37795,21.74024,1.347762,356.105429535079,20.1452285458587
19.34113,17.95914,17.36275,17.0517,16.78889,0.1163082,117.939511372785,40.6241387639544
19.17331,17.70705,17.1676,16.95555,16.87315,-4.870535e-05,5.66415931648542,-10.6018234556185
19.66599,22.06273,19.48703,18.77394,17.98884,-0.0001211039,159.112073804192,-0.553902159450827
21.62875,22.01602,21.64523,21.42995,21.04649,1.290718,186.331192289392,42.1820003916145
20.38372,18.66986,17.53415,17.09088,16.71192,0.1589764,223.27824224476,14.3044998046765
21.62439,21.11937,20.98333,20.86786,20.31867,0.8898848,235.129213844852,50.2956457903839
19.27372,19.07554,19.01284,18.75811,18.81981,1.52053,255.451599839066,20.7419955029973
26.09557,22.03766,20.0972,19.21251,18.7603,0.4659095,240.360384328095,10.8209945282539
18.16728,16.30499,15.45869,15.08627,14.77859,0.07570093,175.792680740039,54.2009585509692
24.49833,21.59659,20.07457,19.32181,18.70432,0.4954262,164.541608665986,1.73171263585377
19.08323,17.78127,17.28271,17.10509,16.95123,7.497045e-05,2.42138265149477,-0.807723440615039
23.50844,21.74283,21.99325,21.83111,22.04999,-0.001062379,358.03327788394,7.66364405262122
20.31985,19.46434,19.2321,19.11804,19.03481,-0.0008789797,193.893003026844,58.753948880297
23.16299,20.53059,18.8626,18.26567,17.94237,0.306043,151.796660019524,19.1015875778063
19.44911,19.27234,19.16984,19.0589,19.28059,1.467658,11.5080719671177,-10.9226019872321
21.63769,20.98144,20.83524,20.77074,20.88081,1.713922,38.3574591089455,-4.98624600564412
24.46065,22.14802,20.77675,19.91142,19.51819,0.6133886,190.394984671752,35.8623739626154
24.51655,21.94379,19.98404,19.10404,18.67739,0.4586142,181.323596145146,46.3725423238618
23.15264,23.15546,21.09584,19.92778,19.49394,0.5955216,224.348102626817,39.4115185757965
20.31154,20.01781,19.97326,19.70989,19.54643,1.617885,350.667492097898,8.49689166343994
21.81271,21.45735,21.39336,21.20056,20.9029,2.084331,133.848236944161,55.3336660816074
21.56626,19.34221,17.95834,16.80009,16.18995,-4.273653e-05,212.943460643935,20.1509153086801
19.00515,17.47925,16.86412,16.63038,16.51501,-0.000406489,39.7706035826353,26.8022084158465
22.90594,25.22121,23.22888,21.21022,19.49352,-8.326695e-05,350.363999698805,23.1334934625101
22.29552,22.25103,20.64981,19.77756,19.46971,0.4898478,157.884403327284,-2.60795152077467
22.99841,21.21806,19.56269,18.63062,18.24735,0.5167336,201.903671604408,37.5045781488378
23.2114,24.75648,21.67605,20.49435,19.76833,0.6542972,145.619483413798,38.3198665459246
22.69571,21.46704,20.82882,20.42263,20.07319,0.9192407,210.781228466135,46.8906608686566
21.35288,20.81627,20.7294,20.44903,20.39514,0.6026019,124.980097069188,30.8806755186651
23.2833,22.25651,20.55793,19.68579,19.10161,0.538077,134.056132799325,56.0044048498889
24.57629,21.32297,19.88923,19.04154,18.61595,-0.0002087835,16.3059851247818,0.565803095614981
21.75827,20.84072,19.14099,18.43929,17.97813,0.4188563,185.847250548956,33.7595452645118
19.23902,18.19604,17.67358,17.36508,17.1833,0.08353528,168.566579258355,16.0705231551039
23.19811,22.65886,21.12939,20.02056,19.44648,-0.0002514636,200.926068207287,58.0873454502293
22.04983,21.45546,20.64232,19.75883,19.29801,0.4366417,125.085794421264,19.433937029437
21.70077,21.57082,21.3314,21.23016,21.08106,1.215864,353.367741936821,-0.719385525853474
21.30151,21.08946,20.76484,20.67834,20.6534,1.112682,328.796877423541,2.10026252070414
19.12047,17.23206,16.20868,15.7054,15.32053,0.1364095,162.158892048845,52.3187648860316
23.13169,20.49751,18.73389,18.12437,17.72871,0.3475296,130.081153165029,34.1801548548435
20.58395,19.13744,17.79332,17.20085,16.78027,0.2552854,260.675795527987,24.6646281628501
24.17615,22.55889,20.74645,19.619,19.12055,0.5685323,130.417998624545,13.7327043831608
23.40165,23.89755,21.45668,20.33908,19.41138,0.9072244,145.338271193013,33.8249978497516
19.05725,17.85085,17.43323,17.25503,17.21798,0.05113677,147.905009804852,50.0734380436569
23.1826,22.0019,20.64966,19.65538,19.40782,0.6173597,204.219332191546,64.8760538218731
18.58878,16.88393,16.20003,15.93458,15.79324,-5.854268e-05,250.511776754849,40.0720805036636
18.12514,16.33902,15.49083,15.09037,14.78912,0.06222441,236.889931594071,29.809504575905
21.26733,20.66846,20.55412,20.37852,20.36462,1.713756,28.4129242465808,1.9495476519041
19.84112,18.31459,17.70017,17.45584,17.36307,6.093838e-05,47.821800496086,1.0468910014196
20.78006,19.61534,17.8084,17.19594,16.78806,0.342369,242.258412394627,31.6570095697886
23.60427,23.12796,22.5055,21.98357,21.68421,0.8414692,135.020521786776,22.6598113489264
24.60168,22.06097,20.51221,19.6613,19.37333,0.5357593,257.789059331371,25.4319392776512
22.97958,21.99837,22.05979,21.79609,22.31928,1.756932,320.224732369405,7.72945216388705
19.707,17.77483,16.85666,16.45255,16.1503,0.1066234,188.157595149874,21.3054789380637
21.5596,21.31897,20.89828,21.07856,21.25735,1.230074,22.3253603894719,11.9410002222832
20.66228,20.63167,20.39847,20.27818,20.23648,1.976087,248.354207972129,38.2232744421316
18.22247,16.60856,15.89355,15.49862,15.2079,0.09313421,212.326511546399,45.0907819683732
24.63498,22.30299,20.96482,20.03324,19.67797,0.6135049,236.79857729501,11.2628146742354
25.00268,21.70823,19.97618,19.0068,18.52772,0.5057567,156.463172845407,51.3196326672169
21.42677,19.84895,19.08073,18.80669,18.63581,-0.0002282152,331.262965183113,45.5239177058024
22.19628,20.03016,18.96054,18.47415,18.11686,-0.0002831188,335.658649553146,70.5306940898473
21.29695,20.78273,20.43822,20.22952,19.85112,2.021147,344.983942048273,1.64304675086545
21.53467,20.82085,20.59843,20.5658,20.49134,2.529968,157.643798311142,33.1926114752105
20.60159,19.03825,18.41581,18.24465,18.12634,-0.0002823528,133.17373886946,53.2497692435685
18.99851,17.90056,17.45758,17.1413,16.97702,0.09684775,198.955257247218,36.5920121846939
18.79424,17.83169,17.45637,17.30957,17.27032,-0.0004892812,325.041497957104,2.62246625081028
24.13701,22.8624,22.98282,22.78156,21.62018,0.4776368,38.8059688491064,-0.114113326734303
24.46376,23.56011,21.02125,19.74117,19.01183,0.7020374,128.366975705289,22.2417878916816
23.11416,25.08453,21.80615,20.52633,19.8762,0.684065,230.598451001342,48.0170000544916
21.93981,20.58058,20.39024,20.245,19.8358,2.865971,183.920628301102,49.9466413020311
19.03135,16.8425,16.01416,15.58045,15.29979,2.167139e-05,66.4247848780382,26.3317272557452
26.10729,22.16937,20.68225,19.63389,19.17501,0.5659363,154.747880872349,29.5818784692155
23.10306,24.72366,22.7437,20.92086,19.958,1.985802e-06,181.082247112614,39.135025082644
19.13155,17.95544,17.44916,17.24615,17.13923,0.03939538,155.681565817041,19.8144494785821
20.45214,18.6605,17.58821,17.07399,16.71646,2.1585e-05,87.4456268595109,-0.747909383078028
21.28193,21.27345,21.22895,21.00702,20.91993,1.998998,39.8995959595116,-3.75899413555224
21.8694,21.61949,21.35777,21.27001,21.6249,0.9527459,32.0266347471518,-0.971164478008135
24.05758,22.95437,21.04702,19.84321,19.29096,0.6406826,131.756670156743,46.1163590042869
23.57779,22.14296,20.38328,19.39633,19.00106,0.4983412,246.089764824709,13.2032545974915
17.96436,15.71188,14.77096,14.42635,14.26351,6.245288e-05,192.776620473778,50.8286109155128
20.44756,20.06555,20.17428,20.30758,20.40323,3.392393e-05,264.243617715974,55.8660534629083
19.66457,18.41899,17.86122,17.63572,17.50734,-0.0002544861,223.290452737749,31.8441039026779
19.61006,18.40943,17.64686,17.2028,16.95466,0.1703981,127.467442810774,23.1964741853369
22.53046,20.69297,19.09486,18.33102,17.92015,0.2515719,247.012226830779,27.7221150643374
